                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.95922,                0.79311,                0.90382,                0.66253,                0.74143,                0.75604,                0.54212,                 1.0285,                0.92947,                0.95559,               0.005446,               0.005446,               0.005446
                     49,                0.96601,                0.78851,                0.90643,                0.66452,                0.74429,                0.75601,                0.55348,                 0.9778,                0.87271,                0.93731,               0.005347,               0.005347,               0.005347
                     50,                0.96127,                0.78667,                0.90536,                0.66488,                0.75621,                0.76486,                0.55653,                0.99233,                0.89158,                0.94018,               0.005248,               0.005248,               0.005248
                     51,                0.95836,                0.77821,                0.90531,                0.64422,                0.78293,                0.77049,                0.56141,                0.98061,                0.85077,                0.93723,               0.005149,               0.005149,               0.005149
                     52,                0.94734,                0.76408,                0.90743,                0.67019,                0.75746,                 0.7641,                0.55755,                0.97626,                0.86856,                0.93449,                0.00505,                0.00505,                0.00505
                     53,                0.95495,                0.77683,                0.89742,                0.68365,                  0.731,                0.77379,                0.56001,                0.98995,                0.86926,                0.94391,               0.004951,               0.004951,               0.004951
                     54,                0.94988,                0.77158,                0.90297,                0.65968,                0.77742,                0.76911,                 0.5572,                0.97896,                0.87107,                0.93666,               0.004852,               0.004852,               0.004852
                     55,                0.94055,                0.76463,                0.90026,                0.67249,                 0.7568,                0.76549,                0.55557,                0.97344,                0.87065,                0.93627,               0.004753,               0.004753,               0.004753
                     56,                 0.9518,                0.75755,                0.90611,                0.64591,                0.76856,                0.77127,                0.56253,                0.95924,                0.94694,                0.93075,               0.004654,               0.004654,               0.004654
                     57,                0.94725,                0.75236,                0.90383,                0.66407,                0.75774,                0.76783,                0.56203,                0.98239,                0.88507,                0.93637,               0.004555,               0.004555,               0.004555
                     58,                0.94922,                0.75278,                0.89823,                0.67448,                0.76538,                0.77034,                0.56299,                0.95639,                0.84444,                0.92951,               0.004456,               0.004456,               0.004456
                     59,                0.94745,                 0.7465,                0.90467,                0.66343,                0.74166,                0.75772,                0.55483,                0.98518,                0.90605,                0.93582,               0.004357,               0.004357,               0.004357
                     60,                0.94471,                 0.7419,                0.89848,                0.66542,                0.77269,                0.76306,                0.55848,                0.97743,                 0.8892,                 0.9356,               0.004258,               0.004258,               0.004258
                     61,                0.93836,                0.74806,                0.90058,                0.64682,                0.78396,                0.75473,                 0.5518,                 1.0084,                0.91062,                0.94813,               0.004159,               0.004159,               0.004159
                     62,                0.93194,                0.73487,                0.89746,                0.65306,                0.77965,                0.76513,                 0.5567,                0.97187,                0.89311,                0.93243,                0.00406,                0.00406,                0.00406
                     63,                 0.9286,                0.72558,                0.89758,                0.67594,                0.75521,                0.76774,                0.56159,                0.96521,                0.87463,                0.93272,               0.003961,               0.003961,               0.003961
                     64,                0.92925,                0.72053,                0.89921,                0.64653,                0.75875,                0.74954,                0.55017,                0.97644,                 0.8872,                0.93393,               0.003862,               0.003862,               0.003862
                     65,                0.92771,                0.72568,                0.89786,                0.68476,                0.72346,                 0.7578,                 0.5555,                0.98564,                0.87486,                0.94094,               0.003763,               0.003763,               0.003763
                     66,                0.94254,                0.71753,                0.90311,                0.67689,                0.74481,                0.77198,                 0.5632,                0.97781,                 0.8825,                0.93565,               0.003664,               0.003664,               0.003664
                     67,                 0.9347,                0.73004,                0.89413,                0.66803,                0.75369,                0.75802,                0.55566,                0.96554,                0.87268,                0.93072,               0.003565,               0.003565,               0.003565
                     68,                0.92258,                0.70343,                 0.8969,                  0.665,                0.77916,                0.76306,                 0.5629,                0.96699,                0.88732,                0.93179,               0.003466,               0.003466,               0.003466
                     69,                0.91462,                0.69655,                 0.8956,                0.67545,                 0.7558,                0.76554,                0.55888,                 0.9731,                0.91939,                0.93251,               0.003367,               0.003367,               0.003367
                     70,                0.92549,                0.70366,                0.89235,                0.67569,                0.76507,                0.76537,                 0.5626,                0.97764,                0.90443,                0.93437,               0.003268,               0.003268,               0.003268
                     71,                0.92467,                0.70398,                0.89258,                0.68372,                0.74514,                0.76504,                0.55675,                 1.0101,                0.91245,                0.94251,               0.003169,               0.003169,               0.003169
                     72,                  0.921,                0.70017,                 0.8973,                0.67059,                0.75839,                0.76519,                0.55997,                 1.0069,                0.89454,                0.94533,                0.00307,                0.00307,                0.00307
                     73,                0.92656,                 0.6963,                0.89937,                 0.6918,                0.73486,                0.76672,                  0.556,                0.97368,                0.87665,                0.93528,               0.002971,               0.002971,               0.002971
