                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.93669,                0.74514,                0.90285,                 0.6727,                0.76725,                0.75889,                0.55463,                0.99403,                0.86304,                 0.9433,                0.00406,                0.00406,                0.00406
                     63,                0.93476,                0.73294,                 0.9031,                0.68388,                0.75082,                0.76368,                0.56099,                0.98671,                0.86747,                0.94187,               0.003961,               0.003961,               0.003961
                     64,                 0.9364,                0.73179,                 0.9055,                0.67937,                0.74622,                0.77434,                0.56125,                  1.013,                0.86071,                0.94648,               0.003862,               0.003862,               0.003862
                     65,                0.93344,                0.73075,                0.90266,                0.67681,                0.75283,                0.77242,                0.56696,                0.99937,                0.86447,                0.94471,               0.003763,               0.003763,               0.003763
                     66,                0.94618,                0.72496,                0.90753,                   0.66,                 0.7704,                0.76127,                0.55762,                0.99752,                0.88872,                0.94167,               0.003664,               0.003664,               0.003664
                     67,                0.93936,                0.73277,                0.89872,                0.66949,                0.76008,                0.75929,                0.55783,                0.99675,                0.88363,                 0.9422,               0.003565,               0.003565,               0.003565
                     68,                 0.9258,                0.70794,                  0.902,                 0.6786,                 0.7607,                0.76296,                0.56036,                 1.0037,                0.88123,                0.94677,               0.003466,               0.003466,               0.003466
                     69,                0.92104,                0.70419,                0.90088,                0.68309,                0.75783,                0.77043,                0.56421,                0.99411,                0.89849,                0.94345,               0.003367,               0.003367,               0.003367
                     70,                0.93097,                0.71305,                 0.8972,                0.65699,                0.75757,                0.74533,                0.54762,                 1.0054,                 0.9393,                0.94703,               0.003268,               0.003268,               0.003268
                     71,                0.92989,                0.71244,                0.89745,                0.67072,                0.74527,                0.75393,                0.54779,                 1.0321,                0.90247,                0.95343,               0.003169,               0.003169,               0.003169
                     72,                0.92611,                0.70651,                0.90201,                0.65687,                0.77274,                 0.7568,                0.55274,                 1.0237,                 0.9027,                0.95136,                0.00307,                0.00307,                0.00307
                     73,                0.93271,                0.70435,                0.90487,                0.67182,                0.75948,                0.77199,                0.56187,                0.97621,                0.87508,                0.93707,               0.002971,               0.002971,               0.002971
                     74,                0.92057,                0.69643,                0.89821,                0.66379,                 0.7701,                0.76938,                0.55997,                 1.0137,                0.87571,                 0.9488,               0.002872,               0.002872,               0.002872
                     75,                0.92364,                0.69049,                0.90257,                0.66999,                0.77921,                0.77903,                0.56922,                 1.0035,                 0.8507,                0.94642,               0.002773,               0.002773,               0.002773
                     76,                0.92445,                0.69248,                0.90288,                0.70012,                0.74065,                0.76928,                0.56244,                0.99794,                0.87493,                0.94188,               0.002674,               0.002674,               0.002674
                     77,                0.91248,                0.67508,                 0.8972,                0.65804,                 0.7794,                0.77137,                0.56416,                 1.0074,                0.88659,                0.94419,               0.002575,               0.002575,               0.002575
                     78,                0.91326,                0.68276,                0.89789,                0.65122,                0.77333,                0.75508,                0.55195,                 1.0194,                0.88256,                0.95078,               0.002476,               0.002476,               0.002476
                     79,                0.91951,                0.68211,                0.89692,                0.65797,                0.78325,                0.77266,                0.56725,                0.97974,                0.85832,                0.93797,               0.002377,               0.002377,               0.002377
                     80,                0.91498,                0.66951,                0.90132,                0.66293,                0.76115,                0.75464,                0.55472,                0.99295,                0.89254,                0.94167,               0.002278,               0.002278,               0.002278
                     81,                0.91978,                0.67652,                0.89347,                0.67118,                0.76646,                0.75907,                 0.5603,                0.98667,                0.88219,                0.94059,               0.002179,               0.002179,               0.002179
                     82,                0.91294,                0.67338,                0.89885,                0.65246,                0.77266,                0.75389,                0.55141,                 1.0029,                0.92538,                0.94619,                0.00208,                0.00208,                0.00208
                     83,                0.91958,                0.67843,                0.89329,                0.66587,                0.76806,                0.76352,                0.56008,                0.97686,                0.88113,                0.93783,               0.001981,               0.001981,               0.001981
                     84,                0.91153,                0.66454,                0.89492,                0.65927,                 0.7949,                0.76553,                0.56304,                0.99761,                0.90208,                0.94209,               0.001882,               0.001882,               0.001882
                     85,                0.90789,                 0.6618,                0.89519,                0.64436,                0.78243,                0.76031,                0.55685,                 1.0032,                0.94735,                 0.9448,               0.001783,               0.001783,               0.001783
                     86,                0.90681,                0.65586,                0.89801,                0.67893,                0.75362,                0.76422,                0.56545,                0.99461,                0.88117,                0.94031,               0.001684,               0.001684,               0.001684
                     87,                0.90779,                0.66136,                0.89786,                0.67808,                0.75257,                0.76335,                0.56236,                 0.9878,                0.90681,                0.94082,               0.001585,               0.001585,               0.001585
                     88,                0.90627,                0.65419,                0.89589,                0.66359,                0.76327,                0.74767,                0.55089,                 1.0011,                0.92579,                0.94495,               0.001486,               0.001486,               0.001486
                     89,                0.90038,                0.64443,                0.89608,                0.67528,                  0.772,                0.76411,                0.55917,                 1.0017,                0.91411,                0.94615,               0.001387,               0.001387,               0.001387
                     90,                0.89911,                0.63867,                0.89463,                0.65661,                0.78101,                   0.75,                0.54987,                 1.0013,                 0.9227,                0.94291,               0.001288,               0.001288,               0.001288
                     91,                0.90947,                0.66227,                0.91169,                0.66056,                0.75448,                0.75307,                0.55192,                0.99258,                0.89474,                0.94202,               0.001189,               0.001189,               0.001189
                     92,                0.90229,                0.62634,                0.91052,                 0.6618,                0.77582,                0.75918,                0.55589,                0.99822,                0.92666,                0.94118,                0.00109,                0.00109,                0.00109
                     93,                0.90105,                0.61971,                0.91086,                0.67628,                0.76758,                 0.7618,                0.55901,                 1.0053,                0.90288,                0.94292,               0.000991,               0.000991,               0.000991
                     94,                0.89815,                0.60955,                0.91391,                0.68344,                0.77211,                0.76406,                0.55871,                0.99585,                0.91355,                0.94043,               0.000892,               0.000892,               0.000892
                     95,                0.89556,                 0.6067,                0.90787,                0.67177,                0.77342,                0.75833,                0.55666,                0.99384,                0.90429,                0.94037,               0.000793,               0.000793,               0.000793
                     96,                0.88477,                0.59478,                0.90578,                0.67619,                0.76533,                0.75533,                0.55408,                 1.0003,                0.91953,                0.94289,               0.000694,               0.000694,               0.000694
                     97,                0.89099,                0.60193,                0.91172,                0.67172,                0.78313,                0.76065,                0.55598,                0.99866,                0.93657,                 0.9428,               0.000595,               0.000595,               0.000595
                     98,                0.89158,                0.59605,                 0.9077,                0.67552,                0.78317,                0.76399,                0.56095,                 1.0038,                0.90575,                0.94353,               0.000496,               0.000496,               0.000496
                     99,                0.88853,                0.58642,                0.90266,                0.66987,                0.78244,                0.75805,                0.55611,                0.99961,                0.91937,                0.94093,               0.000397,               0.000397,               0.000397
                    100,                0.88569,                0.58483,                0.90273,                0.68671,                0.76119,                 0.7567,                0.55538,                0.99788,                0.91878,                0.94139,               0.000298,               0.000298,               0.000298
