                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.95876,                0.81575,                  0.915,                0.65007,                 0.7932,                0.77287,                0.55319,                 1.0318,                0.84886,                0.95551,               0.002872,               0.002872,               0.002872
                     75,                0.96017,                0.80728,                0.91947,                0.67405,                0.76352,                0.77341,                0.56348,                0.98351,                0.84601,                0.94045,               0.002773,               0.002773,               0.002773
                     76,                 0.9633,                0.81425,                0.91994,                0.63209,                0.75981,                0.76472,                 0.5501,                 1.0224,                0.89236,                0.95334,               0.002674,               0.002674,               0.002674
                     77,                 0.9548,                0.80069,                0.91462,                0.65063,                0.74433,                0.74259,                0.54278,                0.99022,                0.90075,                0.94411,               0.002575,               0.002575,               0.002575
                     78,                 0.9529,                0.80897,                0.91364,                 0.6355,                0.77156,                0.76559,                0.55521,                0.99176,                0.86801,                0.94543,               0.002476,               0.002476,               0.002476
                     79,                0.95931,                0.81084,                0.91352,                0.63048,                0.76888,                0.76304,                0.54885,                 1.0155,                0.88069,                0.95187,               0.002377,               0.002377,               0.002377
                     80,                0.95322,                0.79705,                0.91722,                0.64432,                0.75072,                0.75358,                0.54651,                0.98798,                0.86214,                0.94312,               0.002278,               0.002278,               0.002278
                     81,                0.96029,                0.79729,                0.91012,                0.66811,                 0.7586,                0.76928,                0.56127,                0.98248,                0.88275,                0.94042,               0.002179,               0.002179,               0.002179
                     82,                0.95657,                 0.8046,                0.91666,                0.65546,                0.76783,                0.76818,                0.55734,                 0.9941,                0.86844,                0.94595,                0.00208,                0.00208,                0.00208
                     83,                0.96562,                0.80237,                0.91162,                0.64814,                0.76383,                0.75853,                0.55182,                 1.0019,                0.87218,                0.94773,               0.001981,               0.001981,               0.001981
                     84,                0.95482,                0.79277,                0.91189,                0.66473,                 0.7635,                0.77259,                0.56343,                0.98897,                0.85441,                0.94444,               0.001882,               0.001882,               0.001882
                     85,                0.95292,                0.79181,                 0.9131,                0.64518,                0.77705,                0.76826,                0.55737,                 1.0006,                0.86902,                0.94713,               0.001783,               0.001783,               0.001783
                     86,                0.95205,                0.78215,                0.91592,                0.67072,                0.75866,                0.77299,                 0.5615,                0.98513,                0.87289,                0.94373,               0.001684,               0.001684,               0.001684
                     87,                 0.9506,                0.78297,                0.91507,                0.67886,                0.76422,                0.77177,                0.56287,                0.97248,                0.84836,                0.94071,               0.001585,               0.001585,               0.001585
                     88,                0.95208,                0.78612,                0.91351,                0.68831,                 0.7467,                0.77481,                0.56535,                0.98464,                0.85347,                0.94338,               0.001486,               0.001486,               0.001486
                     89,                0.94599,                0.77925,                0.91328,                0.66425,                0.76606,                0.76713,                0.56093,                0.99073,                0.88052,                0.94514,               0.001387,               0.001387,               0.001387
                     90,                  0.942,                0.76707,                0.91146,                0.65749,                0.76768,                0.76797,                0.56165,                 0.9771,                0.85678,                0.93905,               0.001288,               0.001288,               0.001288
                     91,                0.94939,                0.78055,                0.92881,                0.67048,                0.77067,                0.77575,                0.56355,                0.96613,                0.85037,                0.93764,               0.001189,               0.001189,               0.001189
                     92,                 0.9434,                0.74668,                 0.9276,                0.68451,                0.76391,                0.78505,                0.57122,                0.96734,                0.84226,                0.93752,                0.00109,                0.00109,                0.00109
                     93,                0.94248,                0.74816,                0.92871,                0.67888,                0.75809,                0.77941,                0.56867,                  0.969,                0.84718,                0.93932,               0.000991,               0.000991,               0.000991
                     94,                0.94245,                0.74085,                0.93331,                 0.6998,                0.74294,                0.78427,                0.57129,                0.96682,                0.84776,                0.93765,               0.000892,               0.000892,               0.000892
                     95,                0.93779,                0.74158,                0.92577,                0.68417,                0.75575,                0.78453,                0.56915,                0.98047,                0.84626,                0.94117,               0.000793,               0.000793,               0.000793
                     96,                0.92931,                0.72684,                0.92465,                0.68967,                0.76331,                0.78762,                 0.5751,                0.96403,                0.83163,                0.93608,               0.000694,               0.000694,               0.000694
                     97,                0.93732,                 0.7348,                0.93085,                0.68528,                0.76802,                0.78229,                0.56887,                0.96828,                0.84563,                0.93692,               0.000595,               0.000595,               0.000595
                     98,                0.93797,                0.73059,                0.92766,                0.68407,                0.76411,                0.78349,                0.56995,                0.97248,                0.83754,                0.93852,               0.000496,               0.000496,               0.000496
                     99,                0.93128,                0.71753,                0.92044,                0.69398,                0.76791,                0.78533,                0.57548,                0.96308,                 0.8294,                0.93708,               0.000397,               0.000397,               0.000397
                    100,                0.92975,                0.71633,                0.92125,                0.68932,                0.76681,                0.78947,                0.57807,                0.96019,                0.83976,                 0.9358,               0.000298,               0.000298,               0.000298
