                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.99938,                0.89573,                0.88939,                 0.6546,                0.74085,                0.75997,                 0.5495,                 1.0035,                0.92684,                  0.907,               0.004555,               0.004555,               0.004555
                     58,                 1.0039,                0.89209,                0.88463,                0.62068,                0.77457,                0.75403,                0.54831,                0.97677,                0.93145,                0.89649,               0.004456,               0.004456,               0.004456
                     59,                 0.9994,                0.88985,                0.88905,                0.65996,                0.77376,                 0.7748,                0.56459,                0.98028,                0.89595,                0.89729,               0.004357,               0.004357,               0.004357
                     60,                0.99935,                0.88882,                0.88585,                0.66507,                0.77106,                0.77011,                0.55626,                 0.9852,                 0.9077,                0.89581,               0.004258,               0.004258,               0.004258
                     61,                0.99319,                0.89218,                0.88603,                0.65809,                0.76421,                0.76567,                0.55607,                0.98727,                0.92342,                0.90193,               0.004159,               0.004159,               0.004159
                     62,                0.98551,                0.88877,                0.88426,                0.65523,                0.77658,                0.77021,                0.55816,                0.97206,                0.90166,                0.89538,                0.00406,                0.00406,                0.00406
                     63,                0.98364,                0.87794,                0.88412,                0.62449,                0.78177,                0.76835,                0.55624,                0.97792,                0.92597,                0.89775,               0.003961,               0.003961,               0.003961
                     64,                0.99022,                0.87837,                0.88716,                0.65126,                0.77265,                0.76905,                0.55928,                 1.0025,                0.90414,                0.90188,               0.003862,               0.003862,               0.003862
                     65,                0.98437,                0.88578,                0.88438,                0.66385,                0.77893,                0.78249,                0.56927,                0.98127,                0.89263,                0.89862,               0.003763,               0.003763,               0.003763
                     66,                0.99966,                0.86928,                0.88903,                 0.6614,                0.75014,                0.76454,                0.54719,                0.99954,                0.95859,                0.89775,               0.003664,               0.003664,               0.003664
                     67,                0.99191,                0.88219,                0.88262,                0.63142,                0.76493,                0.75087,                0.54292,                0.98616,                0.90807,                0.89936,               0.003565,               0.003565,               0.003565
                     68,                0.98016,                0.86739,                0.88487,                0.65239,                0.75116,                0.75624,                0.55082,                0.98593,                0.91054,                0.89946,               0.003466,               0.003466,               0.003466
                     69,                 0.9738,                0.85664,                0.88285,                0.66924,                0.75742,                0.77665,                0.56241,                0.97847,                0.93075,                0.89537,               0.003367,               0.003367,               0.003367
                     70,                0.98441,                0.86314,                0.88173,                0.62939,                0.75022,                 0.7548,                0.54603,                 1.0137,                0.92482,                0.90525,               0.003268,               0.003268,               0.003268
                     71,                 0.9836,                0.86116,                 0.8822,                0.65225,                0.76665,                0.77247,                0.55462,                  1.008,                0.91863,                0.90731,               0.003169,               0.003169,               0.003169
                     72,                  0.983,                0.86544,                0.88429,                0.66131,                0.77765,                 0.7758,                0.56165,                0.98097,                0.87947,                0.89627,                0.00307,                0.00307,                0.00307
                     73,                0.98664,                 0.8641,                0.88569,                 0.6457,                0.78865,                0.77446,                0.55901,                0.98596,                0.88244,                0.89625,               0.002971,               0.002971,               0.002971
                     74,                0.97554,                0.85731,                0.88223,                0.66374,                 0.7737,                0.78411,                0.56631,                0.99275,                0.89216,                0.90072,               0.002872,               0.002872,               0.002872
                     75,                0.97649,                0.84853,                0.88452,                0.66167,                0.77701,                0.77416,                0.56236,                0.97521,                0.87385,                0.89412,               0.002773,               0.002773,               0.002773
                     76,                 0.9789,                0.85178,                0.88519,                0.68223,                0.77259,                0.78504,                0.57173,                 0.9667,                0.86115,                0.89464,               0.002674,               0.002674,               0.002674
                     77,                0.96887,                 0.8375,                0.88074,                0.64754,                0.78569,                0.76918,                0.56178,                0.97768,                0.86518,                0.89398,               0.002575,               0.002575,               0.002575
                     78,                 0.9651,                0.84325,                0.87953,                0.66565,                0.76231,                0.77857,                0.57001,                0.96663,                0.86283,                0.89326,               0.002476,               0.002476,               0.002476
                     79,                0.97613,                0.84606,                 0.8816,                0.64022,                0.77272,                0.77588,                0.56871,                0.98056,                0.90308,                0.89773,               0.002377,               0.002377,               0.002377
                     80,                0.97264,                0.83571,                0.88228,                  0.655,                0.76904,                0.75039,                 0.5527,                0.96371,                0.90698,                0.89463,               0.002278,               0.002278,               0.002278
                     81,                0.97548,                0.83481,                0.87905,                0.67735,                 0.7672,                0.77686,                 0.5674,                0.98314,                0.88483,                 0.8979,               0.002179,               0.002179,               0.002179
